financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
110,77,3.8,94,67,1210-1390,45,#76Tie,68,9,38.2,10:1,/best-colleges/stevens-institute-of-technology-2639,"Hoboken, NJ",5784,"$44,490",82,Stevens Institute of Technology,72,82.7,79,89,-3,38.2,2.7,14.9
77,49,3.7,86,114,1080-1260,113,#76Tie,27,9,66.4,13:1,/best-colleges/suny-environmental-science-and-forestry-2851,"Syracuse, NY",2373,"in-state: $7,303, out-of-state: $16,953",63,SUNY College of Environmental Science and Forestry,32,90.6,72,66,9,50.5,2.8,22.4
145,61,3.9,88,82,25-29,83,#76Tie,42,7,40.9,13:1,/best-colleges/tcu-3636,"Fort Worth, TX",9925,"$38,600",71,Texas Christian University,35,83.7,76,75,5,47.4,2.8,21.7
82,118,3.8,92,62,1090-1300,94,#76Tie,37,16,32.5,15:1,/best-colleges/university-of-delaware-1431,"Newark, DE",21308,"in-state: $12,342, out-of-state: $30,692",77,University of Delaware,127,91.8,82,72,5,63.4,3.1,9.5
117,77,4,89,94,1110-1310,99,#76Tie,28,19,43.9,18:1,/best-colleges/umass-amherst-2221,"Amherst, MA",28518,"in-state: $13,258, out-of-state: $28,813",65,University of Massachusetts—​Amherst,121,96.2,73,69,8,62.9,3.2,10.2
97,188,3.9,91,73,23-28,151,#85Tie,28,22,24.5,17:1,/best-colleges/michigan-state-2290,"East Lansing, MI",49343,"in-state: $13,200, out-of-state: $34,980",70,Michigan State University,98,94.8,78,66,8,68.7,3.5,12.3
95,61,3.8,90,82,1000-1280,79,#85Tie,96,25,46.2,18:1,/best-colleges/ucsc-1321,"Santa Cruz, CA",17203,"in-state: $13,398, out-of-state: $36,276",78,University of California—​Santa Cruz,189,88.1,76,100,-2,51.9,3,6.1
64,91,3.7,86,86,1080-1290,120,#85Tie,33,14,52.2,17:1,/best-colleges/university-of-vermont-3696,"Burlington, VT",12723,"in-state: $16,226, out-of-state: $37,874",68,University of Vermont,121,92.2,76,68,8,77.6,2.9,10.6
185,99,3.8,91,67,1203-1385,54,#88Tie,52,14,45.4,20:1,/best-colleges/suny-binghamton-2836,"Binghamton, NY",16077,"in-state: $8,619, out-of-state: $20,259",79,Binghamton University—​SUNY,166,87.8,81,84,2,41.7,2.9,7.1
138,157,4.1,90,103,28-32,36,#88Tie,66,17,23.9,16:1,/best-colleges/colorado-school-of-mines-1348,"Golden, CO",5608,"in-state: $16,918, out-of-state: $33,598",80,Colorado School of Mines,54,85.6,70,93,-10,36.4,3.3,17.6
71,68,3.6,90,103,1150-1350,69,#88Tie,47,21,43.2,17:1,/best-colleges/stony-brook--suny-2838,"Stony Brook, NY",24143,"in-state: $8,430, out-of-state: $21,850",70,Stony Brook University—​SUNY,132,87.8,66,78,-4,39.5,3.2,9.3
198,73,3.7,86,114,22-30,88,#88Tie,41,18,42.8,21:1,/best-colleges/university-of-alabama-1051,"Tuscaloosa, AL",34752,"in-state: $9,826, out-of-state: $24,950",65,University of Alabama,7,87.5,67,60,2,56.6,3,36
